A Python interface shall be implemented,"Libwarc shall provide a generic iterator, to enable the developer to iterate over all WARCrecords and create an abstract WARC-document as a simple container",0
An independent Java implementation of libwarc may be implemented,A set of command line tools incorporating libwarc shall perform migration of "HTTrack" archives to WARC-records.,0
Libwarc shall provide a default iterator as a built-in function,"Libwarc shall provide a generic iterator, to enable the developer to iterate over all WARCrecords and create an abstract WARC-document as a simple container",1
Dynamic memory management shall be hidden inside libwarc,Libwarc shall use dynamic heap memory for its internal usage.,1
"For each type of WARC-record, a set of functions shall be made available to create/modify the records properties.","Each peer class shall expose a set a class functions to read, write, and update attributes for the corresponding WARC-record.",1
"Libwarc shall enable combinations of iterators to be used, i.e. composite iterators",Libwarc's iterators may be combined into composite iterators to enable the developer to more than one search field,1
It shall be possible to convert ARC files to WARC files using a command-line tool called "arc2warc",A set of command line tools incorporating libwarc shall perform migration of "curl" archives to WARC-records.,0
It shall be possible to walk a wget mirror and write the data to WARC files,"Python scripts shall be implemented incorporating libwarc, and making all of the functionality of libwarc and API available in Python.",0
"WARC extensions shall be released as a patch to each of the commands ""curl"", ""wget"", and ""httrack"" projects",A web proxy interface shall be implemented that allows the user to set their web browser proxy to the one provided by the interface and thereby ensure all content is delivered from the archive and not from the live web.,0
"Libwarc shall provide an abstract interface for iterators, to enable custom iterators",Libwarc's generic iterators may be customised for different purposes via callback handlers (i.e. hooks),1
"Libwarc shall provide a range of functions through a universal interface for creating each type of valid WARC-record, thus ensuring the resulting WARC files conform to the prevailing WARC standard",Libwarc's iterators may be combined into composite iterators to enable the developer to more than one search field,0
It shall be possible to walk a curl directory and write the data to WARC files,A set of command line tools incorporating libwarc shall perform migration of "curl" archives to WARC-records.,1
ARC to WARC conversions made by arc2warc shall be carried out according to a specification in a configuration file,"Libwarc shall provide an API describing (1) the set of data, and (2) the set of operations that can be performed on the data. The data types shall be abstract (abstract data types - ADT), to ensure independence of concrete implementations.",0
Libwarc shall provide ARC-record reader functionality Libwarc reader will thereby make read operations as simple as possible.,"Helper documentation for libwarc functionality shall be made available within the ""HTTrack"", ""wget"" and ""curl"" commands.",0
"WARC extensions help content will be provided each of the commands ""curl"", ""wget"", and ""httrack""","Helper documentation for libwarc functionality shall be made available within the ""HTTrack"", ""wget"" and ""curl"" commands.",1
"The libwarc interfaces shall fully encapsulate and internal functionality, isolating by abstraction any tool or application based on libwarc from changes in the internal implementation.",The universal header "warc.h" shall ensure compatibility between all versions of libwarc.,1
Libwarc shall provide a stable Application Programme Interface (API) to handle WARCrecords as abstract objects (ADT),Any operations on WARC-records shall be possible using functions accepting the abstract handle as an argument.,1
Dynamic memory management shall be hidden inside libwarc,"Libwarc shall not use file to memory mapping technology, instead libwarc will explicitly allocate memory as needed.",1
Dynamic memory management shall be hidden inside libwarc,"There shall be a single entry point to libwarc, called ""warc.h"".",0
A Jhove plugin module and an output handler shall be made available for WARC files,"Libwarc shall support multiple compression schemas, loading a specific compressor at runtime as an external shared library.",0
Libwarc shall be memory safe and manage dynamic memory internally,WARC files in various test-states shall be provided that test the Jhove deliverables,0
"The C library shall be implemented to be compatible with the Simplified Wrapper and Interface Generator (SWIG, http://www.swig.org) - a wrapper for libwarc C code to allow it to be called natively in a wide variety of languages.",Libwarc's generic iterators may be customised for different purposes via callback handlers (i.e. hooks),0
The functionality of the library shall be exposed in such a way as to fit the metaphors and paradigms of the implementation language,The universal header "warc.h" shall ensure compatibility between all versions of libwarc.,0
Any software tool or application based on libwarc shall require just a single header file.,A command line tool shall be implemented utilising libwarc to check the consistency of WARC-records and their conformance to the WARC ISO standard.,0
It shall be possible to convert ARC files to WARC files using a command-line tool called "arc2warc","""arc2warc"" shall have make a default operation in cases where an ARC-record has no corresponding field in the WARC-record.",1
Libwarc shall provide a MIMES iterator to handle MIME-types payloads,Libwarc shall provide a WARC-record MIME-type iterator,1
"For each type of WARC-record, a set of functions shall be made available to create/modify the records properties.","The attributes of each WARC-record, as per the ISO standard specification, shall have a corresponding attribute in its peer C class.",1
WARC Browser shall support a rewriting interface,WARC Browser shall support a client-side rewriting interface by using javascript code to rewrite links being delivered alongside archived content. This is based on the principles implemented in the Wayback Machine.,1
An Apache and Lighttp plug-in shall provide access to the libwarc API and WARC Browser over http,"A set of command line tools and an API incorporating libwarc shall enable the collection of online documents, such as html and embedded files, etc., and write them to valid WARC- records.",0
A Python script shall be made available to enable rapid development of WARC based solutions,"Python scripts shall be implemented incorporating libwarc, and making all of the functionality of libwarc and API available in Python.",1
Dynamic memory management shall be hidden inside libwarc,Libwarc shall encapsulate and handle all memory management when processing WARCrecords.,1
Dynamic memory management shall be hidden inside libwarc,"Developers using libwarc shall not be required to allocate/release memory directly, instead the developer shall use libwarc's object constructor and destructor functions.",1
A Java interface shall be implemented,A command line tool shall be implemented utilising libwarc to check the consistency of WARC-records and their conformance to the WARC ISO standard.,0
"The libwarc interfaces shall fully encapsulate and internal functionality, isolating by abstraction any tool or application based on libwarc from changes in the internal implementation.",Libwarc shall be incorporated within an Apache module to enable all actions specified in SRS 34-36 to be executed within Apache.,0
Iterators can use exact pattern search or regex expressions,A set of command line tools incorporating libwarc shall perform migration of "curl" archives to WARC-records.,0
A Java interface shall be implemented,"Python scripts shall be implemented incorporating libwarc, and making all of the functionality of libwarc and API available in Python.",0
It shall be possible to convert ARC files to WARC files using a command-line tool called "arc2warc",Libwarc shall provide a WARC-record MIME-type iterator,0
"The libwarc interfaces shall fully encapsulate and internal functionality, isolating by abstraction any tool or application based on libwarc from changes in the internal implementation.",Libwarc shall support non-compressed WARC-records and compressed WARC-records and files,0
"Libwarc shall provide a plug-in interface to enable use of alternative compression libraries, such as ""gzip2"", ""7zip"", etc.",Libwarc shall be incorporated within an Apache module to enable all actions specified in SRS 34-36 to be executed within Apache.,0
An independent Java implementation of libwarc may be implemented,"Libwarc shall provide an API describing (1) the set of data, and (2) the set of operations that can be performed on the data. The data types shall be abstract (abstract data types - ADT), to ensure independence of concrete implementations.",0
Libwarc shall use gzip as the default compression format,"It shall be possible to perform read operations (read from offset, filters, etc.) on WARCrecords from a remote location via http.",0
The functionality of the library shall be exposed in such a way as to fit the metaphors and paradigms of the implementation language,"The universal header ""warc.h"" shall provide normalised interfaces to enable developers to create valid and compliant WARC-records, based on the definition in the ""ISO TC 46/SC 4 N 595"" standards document. The interfaces shall be made available to create WARC records of the following types:- ""warinfo""- ""response""- ""request""- ""metadata""- ""revisit""- ""conversion""- ""continuation""- ""resource""",0
Libwarc shall provide a records iterator to handle WARC-type records,"Extensions to ""HTTrack"", ""wget"" and ""curl"" incorporating libwarc shall be provided as patches to recent and specific versions of each tool, to enable users of the tool to access functionality of libwarc",0
It shall be possible to identify WARC files using the unix "file" command,"A magic number for WARC shall be created and incorporated in the ""file"" mime-type database, enabling the simple identification of WARC files via the Unix ""file"" command",1
Libwarc shall provide a range of functions through a universal interface for reading a range of valid WARC-records,Any operations on WARC-records shall be possible using functions accepting the abstract handle as an argument.,1
It shall be possible to walk a curl directory and write the data to WARC files,"The payload (or the WARC-record document itself) are stored on disk, to avoid using memory heap, even for small objects.",0
A Jhove plugin module and an output handler shall be made available for WARC files,WarcMdoule and WarcHandler plugin modules shall be implemented for Jhove Plugin layer to enable identification and validation of WARC files.,1
Libwarc shall provide a range of functions through a universal interface for reading a range of valid WARC-records,"Libwarc shall provide interfaces to SWIG wrappers to allow dynamic language bindings (Python, Ruby, Perl, Lua ...)",0
"Libwarc shall provide a range of functions through a universal interface for creating each type of valid WARC-record, thus ensuring the resulting WARC files conform to the prevailing WARC standard","A magic number for WARC shall be created and incorporated in the ""file"" mime-type database, enabling the simple identification of WARC files via the Unix ""file"" command",0
