0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
4,1,77,209,1,1,2,1,117,142,132,46,237,252,252,252
94,48,32,214,155,52,100,23,166,105,224,82,196,90,94,94
63,133,211,193,59,113,85,146,95,48,40,45,40,59,93,93
109,151,166,194,111,146,100,146,4,111,43,39,78,60,92,92
11,39,196,102,6,8,11,41,100,197,17,100,240,99,91,91
38,86,86,92,25,46,50,71,18,183,147,101,246,97,90,90
115,134,159,96,75,150,101,173,134,1,105,185,241,124,89,89
238,222,34,79,191,224,220,236,229,144,216,198,218,102,88,88
126,142,136,108,97,141,65,180,9,8,130,183,146,146,87,87
60,44,7,165,121,43,38,34,1,194,248,121,250,210,86,86
132,122,186,156,70,115,10,25,181,77,83,109,143,114,85,85
21,76,41,185,69,92,1,36,192,130,222,110,191,174,84,84
31,139,150,2,25,103,34,137,38,143,76,223,194,180,83,83
5,5,168,129,11,13,5,9,143,197,92,113,233,186,82,82
44,9,110,122,57,14,80,7,170,169,142,137,210,215,80,80
241,17,237,97,241,17,247,4,106,177,53,97,4,66,66,66
201,210,219,79,205,174,228,250,208,219,193,202,66,143,79,79
247,83,251,121,246,218,242,13,52,149,1,75,1,75,78,78
241,197,224,126,238,204,231,195,43,175,15,92,12,55,77,77
207,168,221,163,205,163,217,157,12,158,193,178,59,121,76,76
72,67,47,240,108,40,142,70,57,97,227,60,217,68,75,75
243,23,241,21,245,21,250,34,138,198,55,213,12,74,74,74
27,157,220,208,24,141,37,142,113,119,25,29,47,32,73,73
2,17,124,11,3,13,2,28,18,124,54,220,252,251,72,72
70,181,144,11,25,163,94,178,116,249,89,236,94,190,71,71
197,104,20,74,208,81,174,103,229,99,224,172,213,221,70,70
4,44,212,239,5,14,5,81,4,120,14,24,47,33,69,69
11,27,217,85,4,32,5,23,16,73,21,140,45,204,68,68
74,46,178,134,42,64,64,22,180,107,89,149,119,131,67,67
45,11,67,116,16,10,104,10,160,16,155,136,248,182,95,95
11,28,102,166,15,33,21,54,123,128,84,35,121,213,96,96
224,243,129,188,205,243,177,240,198,127,87,43,178,49,97,97
40,65,17,146,46,64,31,51,243,104,229,35,232,157,98,98
75,60,51,182,122,66,113,71,52,97,212,60,18,107,125,125
66,227,184,204,68,214,15,100,88,144,21,32,64,41,124,124
110,230,192,200,140,231,28,146,14,100,22,44,114,42,123,123
182,187,84,217,119,188,3,8,14,6,108,36,207,37,122,122
192,201,66,197,186,190,107,87,169,124,141,31,145,49,121,121
112,158,156,200,89,137,7,65,122,23,24,39,77,50,120,120
141,229,136,196,130,222,89,194,134,113,45,47,115,41,119,119
164,226,121,198,164,211,199,206,149,124,170,53,135,40,118,118
92,131,36,198,112,143,6,5,13,29,167,26,252,48,117,117
108,161,70,192,81,155,156,181,217,84,134,45,250,43,116,116
128,125,106,132,84,123,83,161,230,196,182,212,119,154,115,115
12,62,108,142,23,58,25,91,189,110,141,63,140,62,114,114
35,75,51,108,42,70,8,76,200,114,156,31,189,58,113,113
38,77,176,129,29,88,50,127,45,5,106,60,176,72,112,112
8,117,211,129,8,107,6,140,93,3,17,45,44,67,111,111
133,33,45,36,131,35,110,53,212,202,143,136,141,235,110,110
22,37,15,24,51,26,14,59,248,20,226,140,221,220,109,109
43,19,22,22,21,17,62,16,222,187,195,143,246,245,108,108
174,97,100,31,177,49,145,106,7,111,191,162,106,222,107,107
49,23,127,39,49,23,31,19,136,173,75,122,190,231,106,106
4,11,141,28,2,9,3,9,30,64,12,57,250,243,105,105
92,10,49,38,60,11,89,14,141,41,149,125,137,232,104,104
9,12,180,17,9,11,9,4,103,72,15,102,169,231,103,103
7,4,163,25,6,10,6,12,120,171,29,104,209,240,102,102
20,5,64,33,20,3,18,10,193,18,150,97,145,235,101,101
13,21,169,24,17,15,13,12,28,50,16,98,168,228,100,100
219,126,174,46,214,107,220,143,56,233,106,166,36,195,99,99
18,1,84,33,34,2,29,10,214,59,139,115,165,207,81,81
97,4,114,42,152,9,99,15,238,212,209,139,69,247,65,65
3,9,150,101,1,13,6,6,134,20,46,89,75,92,64,64
36,89,176,153,16,85,30,29,53,198,105,112,219,97,63,63
219,49,179,136,222,8,185,24,106,89,11,35,10,97,30,30
13,1,91,54,17,1,15,1,98,204,157,131,142,222,29,29
243,77,245,22,242,78,242,90,82,224,17,236,8,28,28,28
31,126,235,40,45,130,17,155,39,84,8,198,72,210,27,27
4,1,12,71,9,7,1,4,27,58,233,92,251,245,26,26
19,2,48,89,18,9,41,12,165,200,170,103,211,222,25,25
18,5,50,100,20,22,63,18,182,101,174,101,218,214,24,24
89,107,147,102,95,67,141,113,195,119,127,104,192,239,23,23
44,46,181,99,37,18,40,44,127,13,77,56,101,252,22,22
191,14,121,188,169,9,224,28,18,128,146,93,45,223,21,21
130,2,240,140,120,2,120,2,60,72,8,55,19,252,20,20
43,12,74,45,28,11,5,4,201,195,131,119,230,197,19,19
8,29,236,77,4,26,8,91,81,49,5,116,68,193,18,18
2,24,133,103,5,12,2,79,89,13,39,58,211,213,16,16
6,37,211,65,16,24,15,88,47,132,14,88,242,202,2,2
251,129,250,97,252,223,250,185,75,211,18,138,9,15,15,15
29,183,126,42,17,177,16,210,165,14,119,221,173,155,14,14
6,40,65,20,1,41,12,34,180,144,133,221,251,166,13,13
9,80,50,13,9,51,29,46,210,238,167,222,244,178,12,12
68,40,30,16,71,26,132,31,47,247,233,220,211,250,11,11
246,2,246,173,242,1,243,9,73,32,54,56,1,10,10,10
75,10,240,192,114,19,63,4,84,86,8,93,3,12,9,9
46,124,61,252,58,126,3,49,128,89,100,2,182,14,8,8
90,109,140,250,102,134,99,102,206,69,109,3,124,23,7,7
237,248,228,247,235,248,238,223,156,74,75,5,18,19,6,6
1,2,39,69,3,5,1,3,48,168,192,90,194,189,5,5
170,83,121,118,106,58,186,60,181,19,129,111,130,221,4,4
90,118,34,217,122,138,172,181,88,101,217,12,225,42,3,3
62,120,141,17,37,139,50,93,16,155,76,180,87,175,31,31
16,5,222,166,10,3,50,3,53,185,16,164,91,223,17,17
228,252,234,38,233,252,207,216,26,252,4,240,29,14,32,32
58,21,154,205,37,3,27,2,183,67,99,5,252,240,49,49
197,69,131,230,194,51,203,86,229,105,175,28,36,66,62,62
140,199,3,42,183,252,61,207,63,68,248,243,61,4,61,61
105,194,4,48,169,241,68,198,252,238,245,245,60,5,60,60
111,239,10,42,151,244,77,221,202,7,231,242,59,6,59,59
114,248,213,70,102,251,10,145,152,244,52,234,58,6,58,58
226,225,238,49,233,231,221,189,80,142,1,216,31,245,57,57
179,104,37,58,142,100,216,193,220,107,162,103,220,239,56,56
35,72,61,83,38,100,13,116,78,149,143,168,245,205,55,55
247,58,242,108,250,37,249,47,141,196,107,101,28,54,54,54
126,127,108,91,82,125,79,139,143,238,130,211,115,153,53,53
106,131,146,15,86,134,161,145,70,249,124,252,124,164,52,52
169,212,144,213,149,206,177,221,13,154,141,77,174,71,51,51
194,96,230,178,237,154,195,63,26,203,51,134,16,8,50,50
170,199,173,216,163,197,150,196,23,79,113,21,144,18,48,48
25,64,202,10,9,66,84,77,58,54,85,238,237,202,34,34
102,59,197,98,87,65,81,31,52,55,70,196,55,131,47,47
100,204,204,32,90,242,74,120,76,59,42,246,92,13,46,46
146,8,154,169,153,35,115,10,114,182,97,110,108,80,45,45
15,58,89,171,14,47,26,62,2,116,141,102,230,217,44,44
36,135,117,2,31,123,30,144,43,227,127,228,155,170,43,43
104,172,110,171,87,156,63,161,216,148,149,37,146,55,42,42
225,161,249,160,228,162,232,220,97,175,17,108,1,43,41,41
116,76,24,88,89,89,125,45,34,196,206,112,241,91,40,40
91,160,181,81,93,178,73,206,134,242,72,181,60,138,39,39
220,72,79,197,214,107,217,62,29,30,145,69,124,89,38,38
189,192,3,56,195,171,107,219,248,204,251,226,229,72,37,37
129,145,174,179,111,157,85,79,154,105,75,208,74,165,36,36
6,111,238,235,7,97,9,131,97,187,5,62,36,65,35,35
28,112,192,116,12,119,70,197,25,230,38,193,81,142,126,126
185,246,99,128,183,232,194,238,215,150,167,93,135,71,127,127
250,217,237,73,248,215,250,214,152,26,81,112,22,128,128,128
34,152,142,128,45,146,82,224,188,115,91,166,104,172,191,191
46,99,150,192,70,95,66,127,119,25,75,35,90,67,220,220
228,241,13,248,229,239,194,205,247,37,240,9,243,7,219,219
235,57,145,10,238,59,216,75,31,44,21,215,10,36,218,218
226,130,249,155,225,123,236,209,74,132,11,184,2,215,217,217
47,151,153,52,33,175,43,78,66,47,88,228,65,14,216,216
2,2,117,230,1,5,63,19,95,97,187,11,123,34,215,215
171,199,119,59,130,188,140,220,73,111,113,147,178,187,214,214
88,31,190,225,80,27,47,34,14,132,95,77,89,85,213,213
151,173,171,206,117,158,149,170,166,191,62,161,92,119,212,212
213,248,72,141,192,251,179,247,28,125,169,81,155,66,211,211
80,123,29,177,72,117,126,111,203,102,209,65,216,122,210,210
233,249,109,61,231,249,230,252,198,246,131,242,208,2,209,209
110,125,190,80,106,90,156,137,95,22,26,115,86,244,208,208
213,212,6,132,214,164,199,242,38,133,251,99,198,158,206,206
51,71,147,96,33,67,86,66,32,35,59,200,88,143,192,192
150,183,195,9,136,190,107,127,34,250,68,250,63,187,205,205
251,228,237,131,239,247,251,232,39,142,21,75,14,204,204,204
76,142,25,137,116,145,75,157,14,123,179,63,200,95,203,203
116,89,203,94,104,75,91,114,37,8,62,105,90,247,202,202
133,69,99,220,108,66,78,20,148,103,74,19,168,143,201,201
164,156,26,247,183,183,185,137,215,89,219,10,201,20,200,200
221,191,59,137,221,200,219,170,187,244,187,210,148,208,199,199
190,119,33,94,203,105,177,140,136,143,176,55,144,231,198,198
152,233,182,173,151,230,112,227,29,107,89,67,94,66,197,197
160,177,150,104,114,172,130,187,195,121,109,214,137,139,196,196
65,161,90,143,68,147,71,179,169,134,178,58,121,64,195,195
130,160,14,171,148,145,89,147,68,30,239,73,242,89,194,194
187,83,228,140,218,73,140,52,127,119,47,59,13,156,193,193
151,200,99,222,140,205,164,203,171,27,119,24,150,27,221,221
48,239,135,77,33,252,31,221,183,144,147,234,206,2,222,222
5,108,237,232,6,99,10,130,26,190,8,61,34,61,223,223
204,117,77,101,147,96,215,73,173,3,165,190,152,141,224,224
229,243,162,163,228,246,200,246,25,230,63,135,78,200,251,251
219,213,127,241,224,212,179,163,130,93,186,25,29,21,250,250
101,200,86,157,151,207,134,208,185,61,153,53,69,54,249,249
186,144,95,122,131,122,66,172,222,186,196,89,157,109,248,248
237,159,44,162,233,162,240,126,55,210,241,147,185,176,247,247
21,100,14,78,57,90,13,115,32,157,230,203,216,194,246,246
167,54,51,85,130,85,209,58,226,185,164,183,186,128,245,245
231,135,173,203,228,123,229,118,94,121,191,77,57,92,244,244
185,139,66,172,202,156,212,155,174,9,198,113,137,131,243,243
221,199,52,92,223,215,178,200,29,236,205,213,175,156,242,242
33,7,139,227,57,18,77,6,80,180,117,71,134,83,241,241
146,59,2,38,196,75,112,97,27,203,251,169,160,210,240,240
198,231,120,44,197,240,210,236,71,155,127,220,119,161,239,239
103,129,99,163,118,145,112,86,204,95,142,165,53,100,238,238
109,198,203,33,91,240,73,121,100,246,36,240,101,9,237,237
41,93,12,126,15,45,25,108,243,29,233,109,249,236,236,236
201,208,15,4,204,163,195,223,82,73,224,227,180,139,235,235
17,9,172,218,24,16,46,11,4,146,119,80,135,82,234,234
7,20,26,120,24,24,1,19,238,125,220,184,229,137,233,233
234,221,226,125,235,221,228,197,142,139,54,87,21,118,232,232
49,22,66,10,22,41,86,42,158,240,191,218,242,252,231,231
