0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
529,244,460,222,292,94,573,521,161,907,502,886,813,849,965,965
545,375,110,182,473,183,613,126,831,46,789,867,841,942,331,331
20,218,40,218,3,4,4,52,112,42,869,764,952,963,330,330
507,331,90,419,436,198,472,85,160,130,725,287,893,776,329,329
29,240,29,399,25,98,15,143,172,136,884,204,691,910,328,328
35,321,113,598,42,144,83,271,211,524,867,280,945,687,327,327
7,209,58,294,2,53,22,221,888,267,687,276,478,774,326,326
642,675,705,662,708,701,484,494,385,608,161,367,412,253,325,325
789,659,599,551,683,629,687,193,576,74,224,79,889,599,324,324
325,1,410,38,6,4,400,34,34,33,330,692,960,963,323,323
392,13,423,42,7,3,444,49,95,798,334,695,964,962,322,322
730,51,609,77,419,69,651,7,12,104,292,775,815,509,321,321
633,31,138,143,395,21,656,38,134,322,777,435,960,928,320,320
264,17,215,114,39,3,54,2,543,75,571,461,936,950,318,318
414,8,99,122,62,4,485,7,119,442,726,400,955,959,305,305
297,49,77,94,349,27,84,17,753,402,675,541,800,953,317,317
606,157,119,208,470,211,596,86,198,655,784,345,826,347,316,316
330,21,411,189,140,12,49,19,276,625,508,399,915,955,315,315
59,135,207,124,5,12,6,75,92,644,572,352,945,958,314,314
236,47,100,133,72,10,208,14,286,621,732,350,959,951,313,313
588,514,684,213,686,447,379,354,504,20,157,386,288,787,312,312
104,652,187,263,19,228,23,521,881,150,582,688,959,480,311,311
35,65,269,879,27,5,191,40,245,529,713,109,889,726,310,310
241,106,137,870,183,112,243,74,903,291,864,150,652,558,309,309
3,12,40,650,1,6,11,8,148,179,651,125,910,911,308,308
155,790,292,419,162,565,95,752,194,747,611,640,741,290,307,307
41,287,84,293,52,87,32,57,128,775,744,559,955,870,306,306
6,261,376,248,4,45,2,193,668,54,427,580,943,960,332,332
17,704,66,267,13,284,20,560,132,311,685,596,847,681,319,319
352,891,55,527,428,878,48,764,207,693,924,333,326,210,333,333
15,791,94,501,86,815,307,786,720,141,888,366,327,214,349,349
185,888,176,549,205,856,320,819,80,551,714,290,328,284,361,361
6,483,389,617,12,468,43,500,629,568,451,266,353,248,360,360
24,113,78,599,21,91,112,96,184,199,648,13,934,631,359,359
27,482,39,958,33,309,112,318,698,434,621,5,958,280,358,358
302,368,574,961,68,76,232,174,114,228,275,2,272,412,357,357
695,219,768,961,437,88,723,71,487,295,121,5,297,348,356,356
504,497,413,862,288,414,384,328,744,5,427,155,189,240,355,355
345,636,58,804,471,596,66,273,876,510,906,157,920,169,354,354
266,636,117,850,306,674,304,416,790,205,859,156,569,240,353,353
130,566,38,613,95,392,100,304,249,456,618,116,215,521,352,352
98,251,729,826,38,66,307,208,281,150,156,154,298,862,351,351
8,436,64,411,3,189,11,531,452,564,651,195,882,336,350,350
732,198,87,291,765,346,719,92,248,283,791,439,879,378,348,348
6,9,601,378,8,11,14,9,74,434,163,55,964,956,335,335
5,1,521,195,6,2,2,1,216,142,153,193,960,965,347,347
1,7,542,216,4,7,7,5,439,69,160,194,962,960,346,346
606,140,640,473,344,122,697,33,67,757,334,521,769,824,345,345
829,44,790,130,737,63,872,50,550,776,256,911,521,324,344,344
808,49,805,137,698,77,808,100,176,845,192,899,250,964,343,343
897,258,883,39,891,340,898,177,455,244,105,913,97,943,342,342
887,178,867,38,883,195,900,121,23,812,131,907,92,943,341,341
723,726,118,768,685,705,635,258,391,220,797,83,952,678,340,340
547,696,411,759,417,750,594,667,730,143,499,84,340,252,339,339
320,724,245,737,531,809,388,515,907,500,744,102,339,220,338,338
