0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
405,632,149,488,497,641,408,637,151,508,458,286,559,1,670,670
339,120,540,537,127,106,559,114,17,315,120,124,545,274,229,229
487,220,424,241,370,318,439,253,211,58,220,373,118,423,228,228
380,360,456,416,347,303,464,381,453,385,216,312,163,391,227,227
598,583,100,206,593,566,576,580,537,2,522,502,134,151,226,226
399,81,272,302,366,61,269,127,651,633,351,519,452,529,225,225
531,353,195,446,586,376,589,411,111,537,517,423,448,152,224,224
549,408,415,597,523,386,341,124,516,85,306,158,277,204,223,223
378,440,264,632,423,470,408,455,127,268,445,47,622,102,222,222
340,617,256,475,249,609,470,664,607,271,466,142,561,103,221,221
311,185,249,153,280,168,210,258,647,543,371,433,310,315,220,220
215,147,80,363,397,303,193,119,602,402,609,189,613,111,219,219
320,434,109,589,376,452,386,433,73,346,480,56,59,149,218,218
260,133,90,153,77,165,39,27,159,75,394,285,178,408,217,217
77,648,427,535,65,656,310,600,212,98,215,59,216,186,216,216
328,114,158,136,424,270,331,118,666,581,495,462,208,461,215,215
556,413,152,320,590,363,592,459,446,420,537,355,175,403,214,214
628,286,532,29,594,338,639,325,287,658,122,638,201,180,213,213
457,7,509,16,17,7,485,7,165,578,109,619,637,658,230,230
571,205,491,314,462,241,617,225,103,485,121,442,389,491,212,212
660,609,599,534,659,605,639,494,179,166,74,93,257,219,231,231
597,591,117,211,595,571,573,574,652,105,519,499,144,160,233,233
279,420,506,301,237,369,412,195,359,391,104,167,234,181,250,250
158,186,70,320,367,505,105,122,323,198,613,284,635,117,249,249
556,151,522,245,614,189,462,171,434,628,133,539,12,572,248,248
199,487,226,597,121,387,154,415,514,230,441,157,622,129,247,247
407,288,183,270,544,545,270,476,590,416,444,123,211,130,246,246
411,279,174,362,366,364,289,266,17,204,414,299,531,333,245,245
146,566,107,389,142,537,115,597,128,440,470,202,505,266,244,244
124,305,2,240,268,90,56,280,592,446,660,352,635,604,243,243
393,313,252,381,355,369,321,347,408,45,395,408,426,149,242,242
123,94,4,37,206,7,49,76,155,67,662,552,661,669,241,241
531,591,256,241,480,585,153,587,269,503,393,471,300,74,240,240
457,599,400,84,515,592,142,497,33,557,298,447,182,217,239,239
129,263,183,314,134,198,75,215,245,430,401,399,478,579,238,238
130,259,5,193,499,466,114,230,230,146,670,206,208,198,237,237
316,53,433,411,175,113,423,172,291,42,289,344,395,368,236,236
340,237,191,77,366,154,353,345,64,647,471,616,300,612,235,235
90,584,292,186,73,468,62,611,280,491,370,484,321,129,234,234
79,29,8,22,426,123,84,48,214,604,663,605,465,465,232,232
302,47,368,1,257,79,289,44,452,199,245,668,535,619,210,210
110,44,610,311,37,19,109,25,335,365,58,321,160,630,190,190
510,625,584,459,508,622,594,592,375,170,172,367,210,218,209,209
627,292,554,255,614,358,643,240,286,48,130,525,134,309,187,187
539,662,6,524,573,662,181,640,192,443,656,162,202,51,186,186
409,98,175,34,386,234,440,144,100,640,571,623,602,451,185,185
217,314,8,75,410,247,173,402,10,626,656,546,620,111,184,184
400,538,303,461,583,622,150,558,79,334,313,176,179,84,183,183
496,521,434,579,465,558,486,506,88,310,282,115,443,189,182,182
579,507,356,627,623,558,596,537,2,302,428,33,608,154,181,181
486,207,305,412,466,239,534,197,55,402,422,235,528,293,180,180
255,590,75,174,306,562,244,627,667,71,645,538,248,129,179,179
498,22,578,249,462,78,552,24,308,477,90,372,422,137,178,178
449,591,128,248,462,553,523,590,521,89,551,520,217,441,177,177
465,540,638,415,268,478,522,564,305,557,61,570,204,135,176,176
118,548,402,321,89,499,233,537,494,108,329,469,630,313,175,175
343,268,551,388,231,333,498,476,223,75,90,165,164,159,174,174
654,504,612,74,647,556,649,570,379,661,57,636,343,170,173,173
172,424,184,136,162,346,209,565,53,620,512,517,168,514,172,172
119,169,280,210,109,168,244,265,547,17,356,422,257,529,171,171
