0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
128,88,32,75,126,106,126,164,89,25,153,138,172,84,203,203
64,157,22,92,59,156,69,118,170,161,165,63,67,61,75,75
56,2,35,48,52,2,15,19,160,183,139,156,113,186,74,74
20,93,2,201,42,110,47,111,52,164,190,121,69,50,73,73
21,104,84,101,55,134,42,33,27,172,102,82,67,84,72,72
5,35,49,114,12,44,25,65,188,19,165,137,148,86,71,71
184,137,159,54,184,112,160,89,100,23,28,150,71,65,70,70
90,108,157,198,83,100,139,194,121,69,57,5,67,121,69,69
176,127,183,181,183,127,135,105,108,11,28,16,38,85,68,68
12,162,30,127,15,103,20,171,5,65,162,118,62,109,67,67
86,73,157,12,124,90,128,82,129,120,76,195,52,169,66,66
40,160,2,125,33,129,33,119,197,163,198,119,50,46,64,64
6,29,8,148,2,69,17,86,16,69,200,101,199,122,53,53
7,18,164,193,9,18,30,30,18,100,13,28,191,150,63,63
77,11,201,12,78,4,103,3,40,37,2,198,153,199,62,62
44,54,93,11,33,11,116,39,21,70,75,199,163,195,61,61
201,126,154,133,202,150,184,104,72,43,7,19,46,54,60,60
179,122,40,10,160,122,176,117,159,195,138,201,42,55,59,59
128,143,39,71,136,152,174,156,178,140,186,48,50,50,58,58
33,148,69,103,29,128,39,95,157,75,133,53,53,97,57,57
19,77,42,188,20,80,54,102,189,88,160,115,54,135,56,56
86,68,11,162,56,38,75,83,197,115,197,41,52,106,55,55
80,131,191,117,48,129,85,36,113,91,65,73,51,50,54,54
148,72,179,9,170,79,192,91,98,94,49,198,45,75,76,76
48,41,167,36,33,30,52,31,58,67,6,165,172,188,77,77
65,116,133,127,35,106,58,128,64,147,36,92,202,151,78,78
116,165,31,110,126,164,93,56,183,142,183,80,85,65,79,79
129,62,124,140,89,28,126,85,43,93,82,28,74,67,100,100
23,4,87,8,10,4,18,12,169,150,141,202,195,176,99,99
74,70,190,93,98,52,95,63,100,128,28,82,70,163,98,98
7,65,121,131,3,52,44,152,103,154,57,128,93,54,97,97
61,83,146,168,45,148,124,91,125,5,84,90,91,25,96,96
142,196,115,135,144,200,172,192,160,127,100,114,92,52,95,95
97,156,49,145,88,146,127,200,55,61,139,124,91,78,94,94
78,131,13,196,123,149,94,131,195,21,193,127,90,47,93,93
63,45,159,101,14,27,110,110,121,30,55,17,83,83,92,92
23,119,58,185,22,125,26,123,171,80,123,8,89,80,91,91
48,63,116,152,49,37,68,75,105,93,94,19,175,86,90,90
168,130,64,110,151,109,179,192,190,9,185,106,86,88,89,89
162,201,99,138,130,201,193,178,32,116,144,67,80,1,88,88
108,20,61,26,145,37,111,52,67,188,115,183,72,142,87,87
83,97,180,187,55,65,116,198,99,58,32,4,85,145,86,86
76,103,144,142,91,103,100,152,123,2,80,101,79,73,85,85
76,63,155,31,69,61,138,94,18,40,90,183,130,119,84,84
115,162,65,85,92,137,34,108,44,23,165,33,76,85,83,83
5,26,124,35,2,9,2,5,30,177,84,151,200,193,82,82
169,71,119,6,173,94,166,65,157,201,153,197,62,81,81,81
163,124,72,5,147,116,184,142,152,25,115,197,69,73,80,80
156,32,68,29,200,69,78,43,56,190,123,185,44,77,65,65
189,198,126,118,160,197,141,120,135,42,92,81,76,76,51,51
35,87,23,162,70,125,36,112,198,134,184,83,75,66,14,14
