0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
5,23,112,370,1,15,1,15,122,33,67,28,417,409,417,417
1,3,352,361,4,3,4,3,66,98,11,31,401,406,134,134
10,4,214,372,10,21,8,4,218,171,146,32,406,119,135,135
34,192,119,357,28,226,12,5,335,183,264,85,382,117,136,136
38,195,86,367,34,191,17,23,95,188,278,81,385,115,137,137
29,210,26,347,26,199,18,29,357,164,350,56,394,287,138,138
25,254,101,392,14,226,31,228,33,6,303,89,411,343,139,139
293,399,92,395,303,400,324,399,364,176,361,156,129,94,140,140
280,321,269,393,244,322,56,270,291,85,208,86,130,129,141,141
166,337,111,56,105,333,190,322,6,350,355,351,390,395,142,142
61,191,84,59,22,202,94,190,355,139,349,345,385,388,143,143
2,20,139,61,2,13,2,13,10,103,224,329,409,392,133,133
6,12,172,66,8,26,6,9,295,108,273,322,412,403,144,144
47,237,304,65,181,328,15,34,5,302,251,338,132,142,146,146
116,282,295,55,193,336,11,123,30,324,215,336,133,138,147,147
384,367,123,79,407,372,360,368,381,388,337,358,134,137,148,148
176,260,207,68,220,315,18,61,146,279,239,333,125,141,149,149
52,306,278,64,62,332,22,258,45,71,117,349,363,144,150,150
2,5,134,11,2,5,4,3,85,49,66,393,414,417,151,151
22,6,216,7,53,35,9,8,101,37,91,415,269,415,152,152
27,24,47,8,32,40,37,114,382,413,366,411,394,416,153,153
156,327,68,323,77,303,32,368,32,211,317,126,152,144,154,154
153,345,54,281,130,343,314,379,13,50,397,164,153,379,155,155
330,345,78,306,340,361,149,350,352,196,322,165,154,76,145,145
364,406,8,317,410,416,326,394,398,306,400,157,144,159,131,131
15,247,185,290,17,266,120,343,59,309,292,155,130,133,119,119
23,209,327,281,11,196,181,350,84,41,139,164,118,130,130,130
372,364,273,286,369,358,224,356,46,175,220,194,129,99,108,108
371,365,335,283,368,332,226,355,257,64,219,195,107,100,109,109
386,172,372,283,366,262,411,172,144,232,32,148,108,110,110,110
378,411,80,319,414,412,131,375,26,155,340,214,109,97,111,111
388,413,100,318,365,386,208,402,26,160,320,213,110,95,112,112
41,324,166,272,24,305,81,358,59,204,282,178,111,106,113,113
360,403,1,283,360,405,55,399,362,100,407,167,112,218,114,114
29,264,143,174,51,362,3,146,293,31,236,278,417,94,115,115
415,342,342,190,379,342,416,372,248,214,113,307,114,114,116,116
115,310,183,157,118,299,69,280,244,228,283,289,115,107,117,117
143,172,56,249,134,172,9,3,40,160,351,85,127,115,107,107
27,220,23,63,1,110,1,116,391,50,333,173,411,76,118,118
113,322,62,61,121,364,4,131,365,334,314,285,106,117,120,120
217,408,310,125,215,415,37,232,69,344,262,285,117,119,121,121
218,412,141,88,222,412,68,330,368,349,295,299,119,121,122,122
92,302,298,132,51,351,19,50,56,366,227,297,120,120,123,123
331,168,297,25,351,293,355,93,27,22,244,402,158,121,124,124
283,89,26,20,333,170,241,28,403,411,374,404,336,119,125,125
309,94,20,24,330,171,331,58,18,407,366,392,337,120,126,126
315,92,8,15,343,174,271,31,406,407,406,400,347,121,127,127
317,97,32,18,349,181,348,86,336,407,358,399,335,122,128,128
325,88,14,14,345,169,273,31,413,402,395,398,353,370,129,129
328,90,9,18,335,178,354,52,139,5,387,397,345,382,156,156
204,29,350,16,207,111,186,23,99,66,275,402,257,152,132,132
213,22,54,33,213,18,251,10,390,402,416,403,275,172,157,157
254,17,317,21,234,9,312,19,85,28,88,402,270,131,184,184
1,5,140,221,1,4,1,5,259,149,218,110,415,417,186,186
54,328,154,48,110,365,16,298,328,261,278,374,413,111,187,187
339,322,311,49,301,320,151,65,23,67,96,373,153,184,188,188
104,283,146,33,99,277,57,307,317,382,291,369,167,174,189,189
319,341,205,34,307,340,138,311,268,395,146,375,182,135,190,190
26,6,388,16,29,6,5,3,210,383,71,318,395,414,191,191
20,5,20,51,6,4,28,6,106,394,371,377,406,416,192,192
55,12,37,49,23,4,80,16,380,368,365,384,389,408,193,193
24,1,19,49,12,11,40,5,409,41,394,385,413,416,194,194
82,31,40,47,38,9,121,30,387,5,361,388,386,397,195,195
33,8,26,49,11,8,47,20,414,380,390,389,416,417,185,185
68,20,15,41,30,10,114,20,83,394,381,391,392,402,196,196
9,11,328,30,65,66,6,6,11,385,251,388,223,417,198,198
9,2,186,356,2,4,6,2,248,69,132,39,405,417,199,199
84,46,94,368,157,75,90,26,114,213,283,70,356,207,200,200
47,158,354,339,46,134,70,171,161,225,37,54,201,188,201,201
106,187,301,340,106,185,90,183,151,53,33,31,236,190,202,202
16,58,345,199,8,15,17,68,102,6,30,93,401,212,203,203
40,119,200,179,27,71,47,95,96,248,151,110,408,213,204,204
116,162,301,200,76,185,99,239,22,89,115,207,401,266,205,205
266,307,90,188,198,285,238,319,66,8,257,236,387,228,206,206
125,191,261,218,91,178,67,224,244,193,133,189,307,270,207,207
62,67,31,285,123,59,37,50,348,28,355,126,413,367,197,197
134,142,329,298,67,141,13,22,179,20,83,101,290,244,183,183
22,100,119,338,65,121,1,40,56,92,278,103,359,291,171,171
26,169,291,54,23,126,28,165,217,295,78,310,368,313,182,182
8,14,318,258,8,27,10,21,149,19,91,133,398,322,160,160
44,21,232,236,64,23,82,20,208,252,144,151,371,367,161,161
396,52,402,186,398,54,388,5,192,146,56,124,63,162,162,162
218,238,374,150,215,196,255,302,291,220,211,242,223,281,163,163
403,166,414,256,415,357,322,19,88,309,3,88,59,163,164,164
368,257,388,240,380,256,293,222,141,24,18,94,84,137,165,165
221,183,372,288,212,158,226,186,52,242,215,209,227,241,166,166
68,86,143,405,109,59,149,92,348,43,291,52,379,196,167,167
400,58,400,74,399,58,405,100,126,326,56,303,70,168,168,168
34,194,369,365,28,172,28,175,190,130,23,24,216,159,169,169
3,40,248,64,3,29,1,54,132,367,56,322,415,417,159,159
77,214,275,62,20,196,106,226,178,183,91,339,226,325,170,170
211,134,65,167,219,106,180,117,335,134,277,194,375,368,172,172
6,69,363,405,3,28,5,104,84,107,12,17,207,158,173,173
16,27,370,151,5,24,11,23,121,208,21,161,194,361,174,174
76,43,333,238,43,80,70,24,7,286,92,164,279,261,175,175
42,18,158,230,18,16,102,20,184,285,162,152,410,336,176,176
14,53,221,287,11,54,20,83,100,84,85,30,277,364,177,177
256,318,259,339,205,297,184,289,172,199,89,55,339,179,178,178
34,106,61,262,40,92,30,62,40,171,293,31,398,287,179,179
