0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2,33,80,165,1,20,1,20,47,52,4,20,165,148,165,165
1,18,158,148,3,18,3,18,38,57,1,18,152,148,61,61
4,17,107,148,4,17,4,17,23,54,10,17,154,54,60,60
24,54,82,142,17,54,7,16,94,44,46,16,138,52,59,59
26,53,68,143,25,53,12,30,3,8,60,15,141,41,58,58
17,52,22,144,14,59,15,31,139,63,111,14,149,90,57,57
13,68,73,144,7,48,32,48,62,19,83,13,156,134,56,56
79,135,69,146,82,137,114,137,149,81,122,12,55,43,55,55
68,103,123,146,62,112,35,76,74,55,22,10,54,48,54,54
99,78,70,73,80,78,119,73,152,37,120,91,145,143,53,53
50,53,60,78,25,53,83,48,127,28,111,90,146,135,52,52
2,19,88,75,3,9,1,19,38,63,35,93,160,132,51,51
5,11,97,69,4,11,6,6,125,3,60,91,163,140,50,50
40,86,147,67,103,96,12,34,106,3,55,98,62,45,49,49
82,101,140,78,111,101,8,29,101,24,33,92,58,42,48,48
160,106,77,65,152,124,147,108,127,115,101,98,83,41,47,47
100,97,114,71,120,105,24,35,66,102,45,97,101,43,46,46
42,65,135,74,59,65,29,50,48,119,8,91,108,56,45,45
3,9,89,22,4,1,3,5,11,54,5,127,165,160,62,62
19,2,117,7,27,4,7,10,27,25,6,161,64,155,63,63
22,23,41,9,21,9,30,32,158,30,130,158,136,162,64,64
73,138,52,129,64,125,36,125,105,76,93,40,63,54,74,74
74,110,43,121,72,99,125,132,66,54,146,42,73,111,81,81
109,93,53,129,109,93,69,99,100,53,96,38,80,53,80,80
126,154,6,122,133,163,137,141,148,83,148,44,79,68,79,79
17,56,99,115,14,56,59,106,78,76,76,11,78,38,78,78
22,15,146,117,12,15,81,81,41,29,12,14,77,75,77,77
139,84,121,116,128,94,94,99,17,31,44,37,76,68,76,76
153,92,151,111,131,75,95,106,71,61,43,26,75,66,75,75
164,89,161,114,132,158,160,89,48,97,1,35,74,73,73,73
163,163,55,133,152,157,64,138,138,79,106,34,72,64,65,65
162,155,69,123,130,164,89,148,16,55,95,36,64,65,72,72
36,71,94,107,33,76,46,94,58,97,68,33,71,68,71,71
124,154,3,118,125,164,39,149,108,74,157,32,70,23,70,70
1,50,85,90,4,101,2,45,8,88,39,58,165,56,69,69
161,98,149,94,139,90,160,106,37,16,5,80,69,68,68,68
19,102,95,93,21,105,19,84,119,108,66,57,68,56,67,67
25,2,48,114,22,9,10,3,38,53,115,2,62,64,66,66
17,87,18,68,1,68,3,55,125,72,106,63,161,43,44,44
51,127,54,68,52,127,10,41,49,118,85,72,65,2,43,43
86,164,147,80,85,165,30,48,10,90,54,75,43,42,42,42
80,161,90,85,90,131,48,76,40,69,75,76,41,17,41,41
37,91,140,83,24,103,15,71,101,85,30,69,2,39,19,19
132,49,132,25,147,70,144,33,62,35,45,141,22,18,18,18
98,26,25,36,122,26,63,26,145,38,132,140,95,14,17,17
112,36,19,34,123,34,126,31,143,152,126,136,93,13,16,16
115,35,5,24,137,35,86,35,137,48,156,135,103,12,15,15
119,25,28,25,140,30,134,41,147,146,118,141,89,11,14,14
121,41,16,32,138,42,90,38,123,135,150,134,104,135,13,13
125,36,12,29,129,41,140,32,161,147,140,138,99,134,12,12
61,12,157,27,64,11,56,22,114,161,64,138,51,9,11,11
65,23,42,40,68,17,69,1,144,137,164,142,69,2,10,10
85,32,141,38,72,27,113,26,56,159,4,139,67,9,9,9
2,10,83,99,1,10,1,3,92,108,32,31,165,159,8,8
15,59,103,62,41,112,10,75,96,34,60,106,161,10,7,7
108,51,154,60,99,57,58,13,54,104,6,107,9,6,6,6
43,87,97,48,31,88,30,88,114,123,73,102,8,18,5,5
107,76,119,43,101,77,56,67,71,48,15,104,7,13,4,4
7,13,164,28,7,2,4,13,49,48,4,95,150,163,3,3
26,2,21,64,7,2,32,4,15,140,131,103,157,157,20,20
54,9,35,57,25,9,69,2,46,28,129,124,138,159,2,2
29,3,18,56,10,3,39,7,40,147,143,122,158,160,21,21
79,16,36,63,37,7,94,20,9,147,124,121,134,142,23,23
34,5,23,64,13,7,52,23,162,147,139,120,165,156,40,40
70,17,13,60,34,6,90,17,7,29,135,119,142,162,39,39
15,2,159,42,64,9,9,10,12,146,58,118,13,156,38,38
38,60,81,63,40,40,30,63,108,18,60,117,81,107,37,37
139,148,70,98,141,96,58,75,115,116,97,87,37,21,36,36
148,153,98,19,139,139,100,120,109,93,60,146,20,3,35,35
