0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,1,13,10,1,1,1,1,7,42,21,35,48,48,48,48
37,42,21,41,37,42,38,48,32,23,32,1,19,15,23,23
20,13,22,1,8,13,14,12,9,4,27,46,36,39,22,22
33,36,12,19,33,23,33,43,36,41,37,35,18,21,21,21
18,8,9,11,36,10,24,11,41,9,43,37,15,20,20,20
20,17,8,33,23,6,6,6,35,18,42,10,18,19,19,19
28,47,38,34,28,42,31,45,3,34,17,21,16,12,18,18
11,18,2,4,15,23,8,15,14,9,46,45,46,30,17,17
8,16,26,16,18,5,5,3,14,38,9,30,35,37,16,16
6,18,18,45,6,4,14,15,4,22,25,3,43,43,15,15
43,15,46,32,46,40,35,2,8,26,4,27,14,14,14,14
32,13,42,7,20,22,5,8,9,48,24,37,12,42,13,13
3,21,14,31,3,14,3,28,35,17,30,8,2,32,12,12
24,38,27,43,21,32,31,45,17,5,45,9,14,8,11,11
37,24,22,30,23,24,37,24,39,8,28,23,10,27,10,10
22,30,11,31,23,18,26,30,1,35,37,20,9,9,9,9
24,10,7,3,32,29,30,23,31,48,40,45,7,8,8,8
37,33,10,14,36,24,37,38,42,24,40,33,7,7,7,7
29,10,37,14,26,7,26,9,29,35,12,29,44,40,6,6
13,26,2,35,14,27,16,22,35,8,48,11,48,3,5,5
3,14,31,17,13,18,10,13,30,44,6,32,5,4,4,4
6,6,26,14,10,8,13,14,3,41,28,31,4,29,3,3
41,24,46,34,41,36,45,32,19,29,2,42,3,24,24,24
31,42,43,37,30,36,31,45,36,15,20,11,24,1,25,25
2,7,13,13,2,7,4,7,3,39,23,40,47,42,26,26
16,12,20,4,10,12,17,11,37,10,28,47,39,38,38,38
14,10,24,5,5,11,18,10,32,13,20,44,35,40,47,47
23,15,19,9,9,16,13,15,39,9,33,40,19,43,46,46
20,16,24,11,6,17,7,17,41,12,26,39,11,45,45,45
4,4,16,9,3,6,2,4,2,4,20,34,45,47,44,44
16,2,10,40,15,2,8,2,33,17,35,4,39,43,43,43
10,15,10,23,13,3,9,10,32,13,41,2,44,42,42,42
40,37,5,20,40,38,1,3,14,13,27,6,38,41,41,41
36,41,39,21,38,46,17,11,16,28,12,16,39,20,40,40
34,42,36,26,34,43,40,39,9,26,6,18,38,39,39,39
40,40,37,27,37,41,18,15,8,1,14,14,37,23,37,37
47,39,35,23,46,40,48,30,10,11,5,21,36,27,27,27
39,43,31,24,39,47,19,13,28,3,15,17,35,25,36,36
38,42,32,25,40,45,20,12,24,20,13,18,34,26,35,35
2,1,2,1,3,1,3,1,22,1,19,4,46,48,34,34
6,18,31,35,8,7,5,11,22,4,11,28,30,35,33,33
5,35,17,47,9,24,9,35,34,31,31,10,44,17,32,32
40,28,42,42,36,27,47,20,12,29,8,11,29,31,31,31
34,25,41,46,35,25,46,19,22,9,7,12,28,30,30,30
46,29,48,23,45,24,44,31,11,23,3,26,28,29,29,29
22,28,35,30,32,30,41,27,36,35,21,25,27,35,28,28
48,2,45,29,47,21,42,26,7,42,1,22,23,2,2,2
21,7,33,19,17,7,40,7,2,10,18,17,45,1,1,1
