0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
30,57,238,12,28,88,61,100,77,44,1,220,83,242,255,255
169,237,242,11,162,211,145,191,90,153,17,212,104,198,94,94
152,205,78,209,130,206,95,160,172,156,130,64,194,78,93,93
26,32,81,169,12,13,25,31,21,111,82,63,208,215,92,93
104,113,239,100,84,144,89,104,86,192,14,125,82,135,91,91
85,67,154,35,84,80,94,65,40,236,59,194,117,229,90,90
58,121,83,15,46,99,58,62,12,242,140,205,165,130,89,89
23,66,244,187,16,66,59,57,26,93,14,62,110,82,88,88
78,86,218,24,95,135,103,146,118,243,50,236,73,186,87,87
98,137,113,146,87,135,103,140,164,10,92,146,121,115,86,86
74,174,148,86,78,175,153,181,208,9,119,203,163,114,85,85
90,4,8,2,68,3,3,1,5,83,227,203,246,246,84,84
184,149,215,53,153,118,202,190,37,39,111,190,137,199,83,83
131,111,53,203,117,101,116,102,107,89,143,50,190,80,82,82
247,227,116,111,234,222,231,237,237,20,196,174,39,57,80,80
57,61,98,112,52,62,80,101,172,188,98,145,156,205,82,66
112,125,202,123,133,174,102,127,68,61,51,82,87,4,79,79
18,7,63,4,7,19,18,18,75,246,72,242,241,164,78,78
94,137,35,93,126,112,103,191,72,31,223,126,79,6,77,77
148,230,250,125,145,230,168,244,47,197,4,168,98,131,76,76
198,131,253,61,205,148,196,80,38,21,18,185,84,209,75,75
83,161,98,117,91,164,116,206,166,183,144,124,131,97,74,74
60,22,104,40,49,37,62,9,189,207,105,201,206,247,73,75
141,183,251,55,121,191,145,142,91,211,16,242,95,213,72,72
89,167,196,43,88,151,139,126,155,203,74,202,193,147,71,71
53,21,89,51,17,19,11,17,169,166,127,189,237,231,70,70
175,229,246,197,155,219,198,218,26,28,15,89,97,97,69,69
31,2,196,5,18,24,11,9,31,26,45,224,189,249,68,68
44,41,44,15,44,67,19,37,164,9,82,180,168,173,67,67
167,203,174,116,181,200,180,220,9,225,137,179,183,104,95,95
112,13,9,113,127,9,185,107,247,204,240,146,138,146,96,81
7,5,215,95,8,7,9,12,5,199,94,126,237,229,96,96
120,7,50,2,91,7,130,47,183,145,158,253,177,254,113,113
190,106,119,141,209,105,179,110,237,49,200,122,34,84,126,126
32,23,57,47,22,12,27,1,179,151,77,165,231,245,125,125
12,12,184,17,9,10,6,9,122,155,45,139,189,250,124,124
24,109,68,95,28,131,63,171,162,147,75,187,175,209,123,123
152,189,34,10,155,167,84,106,175,114,212,181,39,22,122,122
32,67,231,132,37,69,19,11,84,10,3,21,84,76,121,121
124,84,240,19,110,69,56,56,97,175,18,221,96,205,120,120
5,4,247,37,1,13,11,24,59,206,9,223,237,254,119,119
