0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
The system shall allow a user to foward notification to someone else at the site,The system shall allow the provider to redirect the notification concerning orders requiring signature to another provider,0.405465108,0.348237453,0.00736144,0.057923587,0.405465108,0.147239188,8.012152766,10.19507753,31.99910274,12.76990884,1,8.060632972,0.030683166,0.286488908,0.429564325,0.092963017,0.116364909,2.431417965,0.405465108,0.348237453,0.005889152,0.1074341,1.098612289,0.305055066,2.759380057,0.716855721,8.158327734,4.026918927,1,8.156764626,0.010714883,0.088859751,0.150008357,0.075687071,0.097965118,1.504077397,1
The system shall allow a user to foward notification to someone else at the site,The system shall provide the ability to permit an ordering clinician to forward all (current and future) expiring order notifications to another clinician,0.405465108,0.348237453,0.00736144,0.057923587,0.405465108,0.147239188,8.012152766,10.19507753,31.99910274,12.76990884,1,8.060632972,0.030683166,0.286488908,0.429564325,0.092963017,0.116364909,2.431417965,0.405465108,0.348237453,0.005121002,0.130134484,1.098612289,0.343327387,3.02429012,1.912152208,9.16858603,3.956049774,1,9.605457035,0.010921609,0.13775833,0.218432173,0.073522771,0.05286467,1.504077397,1
The system shall allow complete order sets to be predefined and personalized,The system shall provide the ability to customize clinical templates,0.405465108,0.348237453,0.006543502,0,0,0,5.862657454,4.876385128,17.60166729,8.76739397,0.989010989,6.494058268,0.021106257,0.137231407,0.253275078,0.09104293,0.072714053,1.515127233,0.405465108,0.348237453,0.006543502,0.040546511,0.405465108,0.128219325,3.799409081,4.838399003,8.158327734,4.20290432,1,3.845374386,0.021384768,0.117163534,0.213847675,0.078358343,0.010811239,0.510825624,1
The system shall allow complete order sets to be predefined and personalized,The system shall provide the ability to display for selection a secondary,0.405465108,0.348237453,0.006543502,0,0,0,5.862657454,4.876385128,17.60166729,8.76739397,0.989010989,6.494058268,0.021106257,0.137231407,0.253275078,0.09104293,0.072714053,1.515127233,0.405465108,0.348237453,0.006928414,0.067577518,0.405465108,0.157827079,5.163485582,5.719912624,15.85822805,4.742601555,1,5.59914043,0.007686255,0.048490158,0.092235061,0.072643454,0.078543294,1.504077397,1
The system shall allow creation of personalized templates to fit the specific needs of individual practices,The system shall provide the ability to customize clinical templates,0.405465108,0.348237453,0.006199107,0.027031007,0.405465108,0.104690641,4.072926718,0,17.85643885,10.54606937,0.967032967,8.62926638,0.034511209,0.345194402,0.517668135,0.097023478,0.154661227,2.025952857,0.405465108,0.348237453,0.006543502,0.040546511,0.405465108,0.128219325,3.799409081,4.838399003,8.158327734,4.20290432,1,3.845374386,0.021384768,0.117163534,0.213847675,0.078358343,0.010811239,0.510825624,1
The system shall allow creation of personalized templates to fit the specific needs of individual practices,The system shall provide the ability to individualize alerts to address a patient's specific clinical situation,0.405465108,0.348237453,0.006199107,0.027031007,0.405465108,0.104690641,4.072926718,0,17.85643885,10.54606937,0.967032967,8.62926638,0.034511209,0.345194402,0.517668135,0.097023478,0.154661227,2.025952857,0.405465108,0.348237453,0.005889152,0.054062014,0.405465108,0.142669295,3.896912616,1.213609893,15.85822805,4.758639826,1,8.81232691,0.007763849,0.048490158,0.116457734,0.07665979,0.027181678,0.510825624,1
The system shall allow document types to inherit authorizations from a higher level when using classes to assign roles,The system shall provide the ability to create and assign tasks by user or user role,0.405465108,0.348237453,0.005889152,0.022525839,0.405465108,0.095569042,2.635749161,0,31.99910274,12.42360768,1,7.882669917,0.048313073,0.423994119,0.869635312,0.09481248,0.082254501,2.431417965,0.405465108,0.348237453,0.006199107,0.027031007,0.405465108,0.104690641,3.86356346,4.87231473,8.218264852,3.71084949,1,3.976073939,0.014482149,0.069439821,0.217232242,0.072711213,0.025723125,2.014903021,1
The system shall allow document types to inherit authorizations from a higher level when using classes to assign roles,The system shall provide the ability to identify the identity of the cosigning author of a note and record the date and time of original author and identity of signature,0.405465108,0.348237453,0.005889152,0.022525839,0.405465108,0.095569042,2.635749161,0,31.99910274,12.42360768,1,7.882669917,0.048313073,0.423994119,0.869635312,0.09481248,0.082254501,2.431417965,0.405465108,0.348237453,0.006199107,0.040546511,0.405465108,0.124799527,2.716506783,0.687630104,15.85822805,5.359710237,1,6.63436241,0.03002459,0.304067568,0.600491793,0.071099468,0.080220699,2.708050201,1
The system shall allow document types to inherit authorizations from a higher level when using classes to assign roles,The system shall provide the ability to index and retrieve scanned documents based on the document type,0.405465108,0.348237453,0.005889152,0.022525839,0.405465108,0.095569042,2.635749161,0,31.99910274,12.42360768,1,7.882669917,0.048313073,0.423994119,0.869635312,0.09481248,0.082254501,2.431417965,0.405465108,0.348237453,0.006543502,0.025341569,0.405465108,0.101366277,3.332160452,1.912152208,8.158327734,3.459231276,1,7.337679514,0.009522808,0.048490158,0.152364928,0.072192799,0.106584436,2.708050201,1
The system shall allow infinite hierarchies of subclasses to be created in the User Hierarchy Class structure,The system shall provide the ability to export structured data which removes those identifiers listed in the HIPAA definition of a limited dataset. This export on hardcopy and electronic output shall leave the actual PHI data unmodified in the original record,0.405465108,0.348237453,0.006928414,0.023850889,0.405465108,0.098339733,5.613769524,0,17.85643885,8.62698177,0.978021978,9.620114373,0.014054754,0.097775816,0.238930826,0.091513296,0.07737347,0.821980052,0.405465108,0.348237453,0.005353774,0.056163015,1.098612289,0.208057918,2.354435848,0,15.85822805,3.963294371,1,11.4141352,0.005511337,0.048490158,0.187385463,0.073842733,0.06390528,2.197224577,1
