0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
  The DPU-BOOT CSC shall include a DRAM BIT consisting of two write/read/compare tests.  The first test shall write the address of each memory location to that location.  The second test shall write the complement of each memory location to that location.," Startup SequenceThe DPU FSW is booted using PROM-resident bootstrap software.  The bootstrap software performs a basic set of built-in tests, then copies the DPU FSW from EEPROM to DRAM and executes it.  In flight, there are two methods which can trigger the DPU FSW to boot:* power-on (cold boot), or* watchdog reset (warm boot, commanded reboot).",0.405465108,0.348237453,0.005353774,0.031189624,0.405465108,0.110183719,7.339167875,2.918193363,55.7315033,13.14397137,1,6.146267605,0.004991836,0.023582646,0.129787748,0.042770624,0.409828231,3.344038968,0.405465108,0.348237453,0.004362335,0.038970255,1.098612289,0.174483614,3.238061831,0,56.7518566,13.68257636,1,10.49526318,0.019061308,0.191682963,0.934004082,0.059197813,0.260422752,4.424846632,1
  The DPU-BOOT CSC shall include a DRAM BIT consisting of two write/read/compare tests.  The first test shall write the address of each memory location to that location.  The second test shall write the complement of each memory location to that location.,"initial boot sequencethe initial boot sequence, identified as Boot Sequence 1.  This processing takes place when the Bootstrap executes from Programmable Read-Only Memory (PROM).  Boot Sequence 1 is composed primarily of 4 steps as follows.First, in this sequence, EEPROM is updated.  Then, CPU BIT and a portion of DRAM BIT is performed.  Next, DRAM is cleared.  Lastly, Boot Sequence 2 is copied to DRAM and executed. During this sequence, the rest of DRAM is tested if skipBit is not set.  Load parameters are put into registers r13, r14, r15 and r16.  DRAM is cleared up to memSize.  Lastly, either the DPU-RTOS or the Bootstrap Monitor is loaded and executed according to the load parameters.",0.405465108,0.348237453,0.005353774,0.031189624,0.405465108,0.110183719,7.339167875,2.918193363,55.7315033,13.14397137,1,6.146267605,0.004991836,0.023582646,0.129787748,0.042770624,0.409828231,3.344038968,0.405465108,0.348237453,0.003464207,0.043764358,1.098612289,0.189246932,2.706600005,0,56.7518566,10.65468812,1,11.74088995,0.015943655,0.126291123,1.243605096,0.067393727,0.19036038,3.731699451,1
  The DPU-BOOT CSC shall include a DRAM BIT consisting of two write/read/compare tests.  The first test shall write the address of each memory location to that location.  The second test shall write the complement of each memory location to that location.,"DRAM BITPart of the memory is tested in Boot Sequence 1, and part of the memory is tested during Boot Sequence 2.  During Boot Sequence 1, ? KB of DRAM is tested before the Bootstrap is copied to this area.  During Boot Sequence 2, the  remaining memory is tested in ? KB blocks. The DRAM BIT first writes the address of each word in a block to that word in the block.   Then the test flushes the cache and reads back the entire block.  If a single-bit error occurs on the read-back, the location is read again.  If another single-bit error occurs, the test assumes a hard error and marks the whole block bad.  If a multiple-bit error occurs, the whole block is marked bad.  If the value read back does not match the address, the whole block is marked bad.  This same process is repeated with the ones complement of the address. The Bootstrap stores the results of the DRAM BIT in EEPROM as a series of x consecutive y-bit words.  Each bit in a result word represents the result of testing a ? KB block of DRAM.  These bits are mapped to DRAM by proceeding from least-significant bit (LSb) to most-significant bit (MSb) as the addresses of the memory blocks increase.  A set bit indicates that a block of DRAM has failed.  A clear bit indicates that a block of DRAM has passed the test.",0.405465108,0.348237453,0.005353774,0.031189624,0.405465108,0.110183719,7.339167875,2.918193363,55.7315033,13.14397137,1,6.146267605,0.004991836,0.023582646,0.129787748,0.042770624,0.409828231,3.344038968,0.405465108,0.348237453,0.003926101,0.049653491,1.098612289,0.212182614,0.840867185,0,56.7518566,11.39844375,1,10.18226198,0.022857606,0.245290098,2.582909531,0.072380017,0.261472121,5.117993812,1
"  The DPU-BOOT CSC shall create a record of failed DRAM blocks, BIT_DRAM, in the SYSTEM_BLOCK.","initial boot sequencethe initial boot sequence, identified as Boot Sequence 1.  This processing takes place when the Bootstrap executes from Programmable Read-Only Memory (PROM).  Boot Sequence 1 is composed primarily of 4 steps as follows.First, in this sequence, EEPROM is updated.  Then, CPU BIT and a portion of DRAM BIT is performed.  Next, DRAM is cleared.  Lastly, Boot Sequence 2 is copied to DRAM and executed. During this sequence, the rest of DRAM is tested if skipBit is not set.  Load parameters are put into registers r13, r14, r15 and r16.  DRAM is cleared up to memSize.  Lastly, either the DPU-RTOS or the Bootstrap Monitor is loaded and executed according to the load parameters.",0.405465108,0.348237453,0.005353774,0.054062014,0.405465108,0.142669295,11.51724571,2.992633519,55.7315033,17.82744169,1,9.512935836,0.003600974,0.023582646,0.05401461,0.043256816,0.300364205,2.833213344,0.405465108,0.348237453,0.003464207,0.043764358,1.098612289,0.189246932,2.706600005,0,56.7518566,10.65468812,1,11.74088995,0.015943655,0.126291123,1.243605096,0.067393727,0.19036038,3.731699451,1
"  The DPU-BOOT CSC shall create a record of failed DRAM blocks, BIT_DRAM, in the SYSTEM_BLOCK.","DRAM BITPart of the memory is tested in Boot Sequence 1, and part of the memory is tested during Boot Sequence 2.  During Boot Sequence 1, ? KB of DRAM is tested before the Bootstrap is copied to this area.  During Boot Sequence 2, the  remaining memory is tested in ? KB blocks. The DRAM BIT first writes the address of each word in a block to that word in the block.   Then the test flushes the cache and reads back the entire block.  If a single-bit error occurs on the read-back, the location is read again.  If another single-bit error occurs, the test assumes a hard error and marks the whole block bad.  If a multiple-bit error occurs, the whole block is marked bad.  If the value read back does not match the address, the whole block is marked bad.  This same process is repeated with the ones complement of the address. The Bootstrap stores the results of the DRAM BIT in EEPROM as a series of x consecutive y-bit words.  Each bit in a result word represents the result of testing a ? KB block of DRAM.  These bits are mapped to DRAM by proceeding from least-significant bit (LSb) to most-significant bit (MSb) as the addresses of the memory blocks increase.  A set bit indicates that a block of DRAM has failed.  A clear bit indicates that a block of DRAM has passed the test.",0.405465108,0.348237453,0.005353774,0.054062014,0.405465108,0.142669295,11.51724571,2.992633519,55.7315033,17.82744169,1,9.512935836,0.003600974,0.023582646,0.05401461,0.043256816,0.300364205,2.833213344,0.405465108,0.348237453,0.003926101,0.049653491,1.098612289,0.212182614,0.840867185,0,56.7518566,11.39844375,1,10.18226198,0.022857606,0.245290098,2.582909531,0.072380017,0.261472121,5.117993812,1
"  The DPU-BOOT CSC shall create a record of failed DRAM blocks, BIT_DRAM, in the SYSTEM_BLOCK.","Exclude Failed DRAMThe Bootstrap performs a memory test before loading the operating system.  The results of this test are stored in the EEPROM.  The DPU-RTOS uses the results of the memory test to exclude memory segments with bit errors from the system memory pool. The Bootstrap constructs a bit map which effectively implements a list of failed memory blocks during the bootstrap built-in test.  A set of functions have been created to utilize this  bit map to exclude failed memory blocks from the VxWorks system memory pool.  The system memory pool is used by VxWorks to allocate memory dynamically.  In addition, a linked list of good memory segments is created for use by the EDAC Memory Scrubber.  These functions are called from the usrInit() and usrRoot() functions in usrConfig.c.  The dramInit() function must be called prior to kernelInit() in usrInit().  The dramBuildMemPool() function is called just prior to initialization of filesystems and drivers in usrRoot().",0.405465108,0.348237453,0.005353774,0.054062014,0.405465108,0.142669295,11.51724571,2.992633519,55.7315033,17.82744169,1,9.512935836,0.003600974,0.023582646,0.05401461,0.043256816,0.300364205,2.833213344,0.405465108,0.348237453,0.004061484,0.034978544,1.098612289,0.176151037,-0.036283693,0,56.7518566,14.45190479,1,7.48847669,0.039696433,0.667402216,3.413893203,0.064694225,0.34874671,5.117993812,1
"  The DPU-BOOT CSC shall create a record of failed DRAM blocks, BIT_DRAM, in the SYSTEM_BLOCK.","Built-In Test CSCThe Built-In Test (BIT) CSC is a Level 2 reuse component from the SSFF and INSTRUMENT Y projects.  The detailed design of the BIT CSC follows. The Built-In Tests CSC, identified DPU-BIT, performs the Stage 2 Built-In Tests (BIT).  The Stage 2 BIT includes a test of the SCM EDAC circuit, a checksum test on SCM PROM, a MIL-STD-1553B internal BIT, and a memory test of the DCI Data Buffers. The results of the BIT are recorded in the SYS_CNFG_AREA in EEPROM and are also maintained in DRAM.  If an error occurs in one of the functions performing the BIT, the test result will be reported as a failure in the test itself.",0.405465108,0.348237453,0.005353774,0.054062014,0.405465108,0.142669295,11.51724571,2.992633519,55.7315033,17.82744169,1,9.512935836,0.003600974,0.023582646,0.05401461,0.043256816,0.300364205,2.833213344,0.405465108,0.348237453,0.00368072,0.059518364,1.098612289,0.233427868,1.749689596,0,56.7518566,13.2467859,1,8.127645841,0.028368549,0.249720513,1.957429868,0.066930763,0.226111411,4.424846632,1
"  The DPU-BOOT CSC shall create a record of failed DRAM blocks, BIT_DRAM, in the SYSTEM_BLOCK.",External Program InterfacesReads the BIT results from the location pointed to by pBitResults (which is assumed to be in EEPROM) into the BIT results data structure in DRAM.,0.405465108,0.348237453,0.005353774,0.054062014,0.405465108,0.142669295,11.51724571,2.992633519,55.7315033,17.82744169,1,9.512935836,0.003600974,0.023582646,0.05401461,0.043256816,0.300364205,2.833213344,0.405465108,0.348237453,0.005121002,0.068367154,1.098612289,0.245775878,4.664662727,0,33.87834288,13.60395169,0.982035928,8.157415457,0.022150265,0.216013715,0.487305822,0.054730233,0.144822384,2.34540509,1
  The DPU-BOOT CSC shall provide a monitor which accepts commands over the RS-232 interface.,"Bootstrap MonitorThe Bootstrap Monitor checks entered commands for syntax and number of arguments, and displays an error message to the RS-232 interface if an invalid command or argument is entered.  A complete listing of these messages is given in document 7384-BSPS-01.",0.405465108,0.348237453,0.005353774,0.057923587,0.405465108,0.147239188,9.118301175,2.209984076,55.7315033,17.10963449,1,6.081518638,0.008794192,0.033944908,0.123118693,0.045334593,0.399233743,4.442651256,0.405465108,0.348237453,0.003799453,0.102813944,1.098612289,0.311892994,5.189264438,0,33.87834288,13.62942189,1,6.991414247,0.025620829,0.191682963,0.922349842,0.07692308,0.599952116,4.424846632,1
"  The Bootstrap Monitor of the DPU-BOOT CSC shall provide the capability to read from Dynamic Random Access Memory (DRAM), the VME bus, and the Input/Output Channel Controller (IOCC) on command.","Built-In TestThere are two stages of Built-In Tests (BIT) for the DPU.  The Stage 1 BIT is included in the Bootstrap program and consists of Central Processing Unit (CPU) BIT, and Dynamic Random Access Memory (DRAM) BIT.  The Stage 2 BIT is executed after the operating system is booted and is not part of the Bootstrap program.",0.405465108,0.348237453,0.004907626,0.015017226,0.405465108,0.078031796,5.721020258,0.60191975,36.06967223,10.77451603,1,5.664395877,0.007124421,0.032555423,0.19235938,0.042530054,0.31455789,5.135798437,0.405465108,0.348237453,0.004362335,0.045465298,1.098612289,0.187989034,-0.398927033,0,33.87834288,16.18653809,1,7.763545422,0.05221236,0.667402216,2.192919141,0.094814555,0.354860103,4.424846632,1
"  The Bootstrap Monitor of the DPU-BOOT CSC shall provide the capability to write to Dynamic Random Access Memory (DRAM), the VME bus, and the Input/Output Channel Controller (IOCC) on command.","Built-In TestThere are two stages of Built-In Tests (BIT) for the DPU.  The Stage 1 BIT is included in the Bootstrap program and consists of Central Processing Unit (CPU) BIT, and Dynamic Random Access Memory (DRAM) BIT.  The Stage 2 BIT is executed after the operating system is booted and is not part of the Bootstrap program.",0.405465108,0.348237453,0.004711321,0.015594812,0.405465108,0.07951825,5.507942627,0.51653478,36.06967223,10.97120871,0.988235294,5.678572872,0.007652417,0.032555423,0.198962833,0.042854027,0.308881481,5.135798437,0.405465108,0.348237453,0.004362335,0.045465298,1.098612289,0.187989034,-0.398927033,0,33.87834288,16.18653809,1,7.763545422,0.05221236,0.667402216,2.192919141,0.094814555,0.354860103,4.424846632,1
"  The Bootstrap Monitor of the DPU-BOOT CSC shall provide the capability to write to Dynamic Random Access Memory (DRAM), the VME bus, and the Input/Output Channel Controller (IOCC) on command.",Generic VME Driver CSCThe Generic VME (GVME) Driver CSC is a Level 1 reuse component from the INSTRUMENT Y project.  The GVME Driver provides a set of convenience routines which are useful when accessing registers and memory in the VME memory space.,0.405465108,0.348237453,0.004711321,0.015594812,0.405465108,0.07951825,5.507942627,0.51653478,36.06967223,10.97120871,0.988235294,5.678572872,0.007652417,0.032555423,0.198962833,0.042854027,0.308881481,5.135798437,0.405465108,0.348237453,0.004907626,0.088475141,1.098612289,0.273947291,5.313258705,0,56.7518566,15.29421862,1,10.19624771,0.020063194,0.324992878,0.682148594,0.063089913,0.154429213,1.822156946,1
  The Bootstrap Monitor of the DPU-BOOT CSC shall provide the capability to download configurations of the DPU-RTOS from the RS-232 interface to EEPROM on command.,"initial boot sequencethe initial boot sequence, identified as Boot Sequence 1.  This processing takes place when the Bootstrap executes from Programmable Read-Only Memory (PROM).  Boot Sequence 1 is composed primarily of 4 steps as follows.First, in this sequence, EEPROM is updated.  Then, CPU BIT and a portion of DRAM BIT is performed.  Next, DRAM is cleared.  Lastly, Boot Sequence 2 is copied to DRAM and executed. During this sequence, the rest of DRAM is tested if skipBit is not set.  Load parameters are put into registers r13, r14, r15 and r16.  DRAM is cleared up to memSize.  Lastly, either the DPU-RTOS or the Bootstrap Monitor is loaded and executed according to the load parameters.",0.405465108,0.348237453,0.004907626,0.020273255,0.405465108,0.090664754,7.101527731,2.834845535,36.06967223,11.26698111,0.976470588,5.362673222,0.006885951,0.033944908,0.137719017,0.042003545,0.267041644,3.344038968,0.405465108,0.348237453,0.003464207,0.043764358,1.098612289,0.189246932,2.706600005,0,56.7518566,10.65468812,1,11.74088995,0.015943655,0.126291123,1.243605096,0.067393727,0.19036038,3.731699451,1
