0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
" The DPU-CCM shall spawn tasks for DPU-CCM, DPU-DPA, DPU-DCX, DPU-SCUI, and DPU-TMALI at bootup.","initial boot sequencethe initial boot sequence, identified as Boot Sequence 1.  This processing takes place when the Bootstrap executes from Programmable Read-Only Memory (PROM).  Boot Sequence 1 is composed primarily of 4 steps as follows.First, in this sequence, EEPROM is updated.  Then, CPU BIT and a portion of DRAM BIT is performed.  Next, DRAM is cleared.  Lastly, Boot Sequence 2 is copied to DRAM and executed. During this sequence, the rest of DRAM is tested if skipBit is not set.  Load parameters are put into registers r13, r14, r15 and r16.  DRAM is cleared up to memSize.  Lastly, either the DPU-RTOS or the Bootstrap Monitor is loaded and executed according to the load parameters.",0.405465108,0.348237453,0.005353774,0,0,0,4.76999156,0.134884065,21.30137226,8.11231859,0.986666667,11.54085318,0.003818662,0.023607438,0.053461275,0.055457056,0.32354764,2.525728644,0.405465108,0.348237453,0.003464207,0.043764358,1.098612289,0.189246932,1.713826041,0,74.81253043,15.65756559,1,11.22002499,0.026601737,0.300261847,2.074935517,0.072293035,0.28521825,5.398162702,0
 The DPU-ICUI shall provide an API for other CSCs to transmit messages to the ICU.,"Bootstrap MonitorThe Bootstrap Monitor checks entered commands for syntax and number of arguments, and displays an error message to the RS-232 interface if an invalid command or argument is entered.  A complete listing of these messages is given in document 7384-BSPS-01.",0.405465108,0.348237453,0.006199107,0.136395893,1.098612289,0.313209086,9.050093107,3.648051812,32.64089172,10.33532954,1,4.772430673,0.001592708,0.008159725,0.022297909,0.05238527,0.341445315,2.931193752,0.405465108,0.348237453,0.003799453,0.102813944,1.098612289,0.311892994,5.495970707,0,45.52440007,18.94072108,1,7.386787579,0.031904905,0.234640863,1.148576585,0.081993426,0.643849341,4.705015521,0
  The DPU-DCI shall provide the capability for an application program to set the Address Limit at which the hardware will swap ping-pong buffers.,"Built-In TestThere are two stages of Built-In Tests (BIT) for the DPU.  The Stage 1 BIT is included in the Bootstrap program and consists of Central Processing Unit (CPU) BIT, and Dynamic Random Access Memory (DRAM) BIT.  The Stage 2 BIT is executed after the operating system is booted and is not part of the Bootstrap program.",0.405465108,0.348237453,0.005353774,0.071622733,1.098612289,0.251358785,7.59427464,5.272148701,32.64089172,9.872244748,1,5.410478389,0.002509561,0.010990005,0.052700777,0.046561185,0.202841851,2.708050201,0.405465108,0.348237453,0.004362335,0.045465298,1.098612289,0.187989034,-1.920700171,0,45.52440007,21.86826431,1,7.741435041,0.060685472,0.816973141,2.548789825,0.100670816,0.36845094,4.705015521,0
  The DPU-TIS shall report errors to an application program by setting the ERRNO task variable and returning ERROR.,"Built-In TestThere are two stages of Built-In Tests (BIT) for the DPU.  The Stage 1 BIT is included in the Bootstrap program and consists of Central Processing Unit (CPU) BIT, and Dynamic Random Access Memory (DRAM) BIT.  The Stage 2 BIT is executed after the operating system is booted and is not part of the Bootstrap program.",0.405465108,0.348237453,0.005608716,0.083559855,1.098612289,0.270693057,8.064333315,3.735856457,32.64089172,10.02405945,1,5.38563283,0.002546813,0.009301968,0.045842641,0.051223153,0.324441057,3.912023005,0.405465108,0.348237453,0.004362335,0.045465298,1.098612289,0.187989034,-1.920700171,0,45.52440007,21.86826431,1,7.741435041,0.060685472,0.816973141,2.548789825,0.100670816,0.36845094,4.705015521,0
"  The DPU-1553 CSC shall address hardware modules as defined in document 1400, Company X Specification for the Company X Communication/Memory Module.","initial boot sequencethe initial boot sequence, identified as Boot Sequence 1.  This processing takes place when the Bootstrap executes from Programmable Read-Only Memory (PROM).  Boot Sequence 1 is composed primarily of 4 steps as follows.First, in this sequence, EEPROM is updated.  Then, CPU BIT and a portion of DRAM BIT is performed.  Next, DRAM is cleared.  Lastly, Boot Sequence 2 is copied to DRAM and executed. During this sequence, the rest of DRAM is tested if skipBit is not set.  Load parameters are put into registers r13, r14, r15 and r16.  DRAM is cleared up to memSize.  Lastly, either the DPU-RTOS or the Bootstrap Monitor is loaded and executed according to the load parameters.",0.405465108,0.348237453,0.004362335,0.021340269,0.405465108,0.093020075,6.269882023,2.10786928,32.64089172,10.8461778,0.993333333,6.786051258,0.007221711,0.05067867,0.137212508,0.048757712,0.386383231,3.218875825,0.405465108,0.348237453,0.003464207,0.043764358,1.098612289,0.189246932,1.713826041,0,74.81253043,15.65756559,1,11.22002499,0.026601737,0.300261847,2.074935517,0.072293035,0.28521825,5.398162702,0
" The DPU-SCUI, in the event of a buffer full condition, shall discard new data, return an error to the caller, and report an error condition to the DPU-CCM."," Startup Sequence On flight, a power cycle can only be effected by the SCU.  A watchdog reset could be induced by the DPU FSW due to a detected, unrecoverable error, or it could occur as a by-product of the FSW entering a state in which it fails to strobe the watchdog timer.  On boot, the bootstrap tests and clears DRAM, and then proceeds to load the DPU FSW from EEPROM and executes it.  The DPU FSW then loads configuration information from EEPROM (which establishes various operational defaults) and spawns the various DPU FSW tasks. ",0.405465108,0.348237453,0.005608716,0.083023587,1.098612289,0.250201355,10.64548414,5.833168466,53.04851082,13.8858961,1,7.606219802,0.001451654,0.008159725,0.033388034,0.046759498,0.154204335,1.832581464,0.405465108,0.348237453,0.004206537,0.030310198,1.098612289,0.154391326,2.092895473,0,74.81253043,20.45365799,1,7.762319433,0.036173794,0.264424359,2.278949033,0.070525141,0.2034657,4.705015521,0
"  The DPU-DPA shall collect event mode data, preserving the time and spatial resolution in the specified event window.","initial boot sequencethe initial boot sequence, identified as Boot Sequence 1.  This processing takes place when the Bootstrap executes from Programmable Read-Only Memory (PROM).  Boot Sequence 1 is composed primarily of 4 steps as follows.First, in this sequence, EEPROM is updated.  Then, CPU BIT and a portion of DRAM BIT is performed.  Next, DRAM is cleared.  Lastly, Boot Sequence 2 is copied to DRAM and executed. During this sequence, the rest of DRAM is tested if skipBit is not set.  Load parameters are put into registers r13, r14, r15 and r16.  DRAM is cleared up to memSize.  Lastly, either the DPU-RTOS or the Bootstrap Monitor is loaded and executed according to the load parameters.",0.405465108,0.348237453,0.005608716,0.025341569,0.405465108,0.101366277,7.500481059,2.827560373,32.64089172,11.14183361,1,7.263251047,0.003379986,0.010030348,0.054079772,0.051430102,0.335581127,2.931193752,0.405465108,0.348237453,0.003464207,0.043764358,1.098612289,0.189246932,1.713826041,0,74.81253043,15.65756559,1,11.22002499,0.026601737,0.300261847,2.074935517,0.072293035,0.28521825,5.398162702,0
  The DPU-BOOT CSC shall log detected BIT failures to the SYSTEM_BLOCK.," Startup SequenceThe DPU FSW is booted using PROM-resident bootstrap software.  The bootstrap software performs a basic set of built-in tests, then copies the DPU FSW from EEPROM to DRAM and executes it.  In flight, there are two methods which can trigger the DPU FSW to boot:* power-on (cold boot), or* watchdog reset (warm boot, commanded reboot).",0.405465108,0.348237453,0.005608716,0.036860464,0.405465108,0.12225233,6.80872998,0.476633345,32.64089172,11.24297859,0.993333333,9.52316213,0.003842806,0.014814937,0.042270865,0.05243904,0.154798876,3.218875825,0.405465108,0.348237453,0.004362335,0.038970255,1.098612289,0.174483614,3.252741226,0,74.81253043,19.10945485,1,9.952247635,0.02604577,0.234640863,1.276242729,0.066564423,0.276534994,4.705015521,0
 The DPU-TIS  shall provide TIS_HK to the DPU-CCM on request.,"CPU BITThe CPU BIT consists of a series of tests designed to test each of the functional units of the processor.  These include test for the Branch-Unit, the Fixed-Point Unit, the Floating-Point Unit, the Interrupt-Unit, and the Timer Unit.   Each of these tests consists of executing a few selected instructions from the this functional unit. The General Purpose Registers (GPR), the Segment Registers (SR), the Counter Register (CTR), and the Condition Register are tested for stuck-bits as part of the Branch-Unit test.  This is done by writing a 1s pattern (verified by reading it back) and then writing a 0s pattern (verified by reading it back).",0.405465108,0.348237453,0.005889152,0.040546511,0.405465108,0.128219325,9.575868041,3.571768197,32.64089172,12.34910017,0.993333333,8.593786069,0.002286684,0.01317404,0.022866842,0.055381256,0.199784502,1.347073648,0.405465108,0.348237453,0.004061484,0.04423757,1.098612289,0.197356726,1.574788999,0,74.81253043,16.71154072,1,11.09485685,0.023968899,0.300103203,1.629885123,0.078071497,0.248139055,4.299550413,0
  Tthe DPU-CCM shall create DPU_HK_START and forward it to DPU-SCUI at bootup.,"CPU BITThe CPU BIT consists of a series of tests designed to test each of the functional units of the processor.  These include test for the Branch-Unit, the Fixed-Point Unit, the Floating-Point Unit, the Interrupt-Unit, and the Timer Unit.   Each of these tests consists of executing a few selected instructions from the this functional unit. The General Purpose Registers (GPR), the Segment Registers (SR), the Counter Register (CTR), and the Condition Register are tested for stuck-bits as part of the Branch-Unit test.  This is done by writing a 1s pattern (verified by reading it back) and then writing a 0s pattern (verified by reading it back).",0.405465108,0.348237453,0.005608716,0,0,0,6.370884753,1.399396803,21.30137226,9.904080058,0.993333333,7.748142217,0.005415495,0.023607438,0.064985943,0.054691259,0.521672134,5.010635294,0.405465108,0.348237453,0.004061484,0.04423757,1.098612289,0.197356726,1.574788999,0,74.81253043,16.71154072,1,11.09485685,0.023968899,0.300103203,1.629885123,0.078071497,0.248139055,4.299550413,0
  The DPU-RTOS shall provide a function to allow an application program to read from the Real-Time Clock registers on the RAD6000SC CPU Module.," Startup Sequence On flight, a power cycle can only be effected by the SCU.  A watchdog reset could be induced by the DPU FSW due to a detected, unrecoverable error, or it could occur as a by-product of the FSW entering a state in which it fails to strobe the watchdog timer.  On boot, the bootstrap tests and clears DRAM, and then proceeds to load the DPU FSW from EEPROM and executes it.  The DPU FSW then loads configuration information from EEPROM (which establishes various operational defaults) and spawns the various DPU FSW tasks. ",0.405465108,0.348237453,0.005121002,0.090930595,1.098612289,0.260970978,9.057979194,3.787279017,53.04851082,15.10605141,1,5.260282292,0.009042065,0.121465147,0.189883375,0.047929968,0.162068579,2.931193752,0.405465108,0.348237453,0.004206537,0.030310198,1.098612289,0.154391326,2.092895473,0,74.81253043,20.45365799,1,7.762319433,0.036173794,0.264424359,2.278949033,0.070525141,0.2034657,4.705015521,0
  The DPU-TIS shall provide the capability for application programs to access the SC_TIME from the SCM.,"DRAM BITPart of the memory is tested in Boot Sequence 1, and part of the memory is tested during Boot Sequence 2.  During Boot Sequence 1, ? KB of DRAM is tested before the Bootstrap is copied to this area.  During Boot Sequence 2, the  remaining memory is tested in ? KB blocks. The DRAM BIT first writes the address of each word in a block to that word in the block.   Then the test flushes the cache and reads back the entire block.  If a single-bit error occurs on the read-back, the location is read again.  If another single-bit error occurs, the test assumes a hard error and marks the whole block bad.  If a multiple-bit error occurs, the whole block is marked bad.  If the value read back does not match the address, the whole block is marked bad.  This same process is repeated with the ones complement of the address. The Bootstrap stores the results of the DRAM BIT in EEPROM as a series of x consecutive y-bit words.  Each bit in a result word represents the result of testing a ? KB block of DRAM.  These bits are mapped to DRAM by proceeding from least-significant bit (LSb) to most-significant bit (MSb) as the addresses of the memory blocks increase.  A set bit indicates that a block of DRAM has failed.  A clear bit indicates that a block of DRAM has passed the test.",0.405465108,0.348237453,0.005353774,0.028961793,0.405465108,0.108365108,6.21693301,2.389744067,32.64089172,10.55679523,0.993333333,7.151877515,0.007245788,0.066048956,0.10144103,0.05254975,0.215674046,2.813410717,0.405465108,0.348237453,0.003926101,0.049653491,1.098612289,0.212182614,-0.454779695,0,74.81253043,16.52229634,1,8.668414358,0.033387989,0.397826747,3.772842806,0.074235659,0.2612069,4.705015521,0
