0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
The system shall allow a user to foward notification to someone else at the site,The system shall provide the ability to permit an ordering clinician to forward all (current and future) expiring order notifications to another clinician,0.405465108,0.348237453,0.00736144,0.057923587,0.405465108,0.147239188,27.78411781,16.59867302,155.3803639,61.31182641,1,8.676242625,0.044244835,0.415768235,0.619427689,0.045523911,0.207548347,2.036881927,0.405465108,0.348237453,0.005121002,0.130134484,1.098612289,0.343327387,15.94068353,8.320824874,68.01384687,38.55113556,0.997333333,7.404008697,0.031081881,0.319062957,0.62163763,0.059612297,0.18985849,3.218875825,1
The system shall allow complete order sets to be predefined and personalized,The system shall provide the ability to customize clinical templates,0.405465108,0.348237453,0.006543502,0,0,0,25.32530111,16.59867302,74.36892661,29.37491581,0.984782609,5.958943475,0.011609349,0.040939559,0.139312188,0.043164569,0.07101011,2.260025479,0.405465108,0.348237453,0.006543502,0.040546511,0.405465108,0.128219325,15.56639323,23.56538929,68.01384687,53.87838577,0.989333333,4.770992574,0.085400793,0.610888754,0.854007934,0.066325268,0.186759575,1.832581464,1
The system shall allow complete order sets to be predefined and personalized,The system shall provide the ability to display for selection a secondary,0.405465108,0.348237453,0.006543502,0,0,0,25.32530111,16.59867302,74.36892661,29.37491581,0.984782609,5.958943475,0.011609349,0.040939559,0.139312188,0.043164569,0.07101011,2.260025479,0.405465108,0.348237453,0.006928414,0.067577518,0.405465108,0.157827079,32.84850808,31.7118274,126.1254568,45.95179763,1,5.051554273,0.028650443,0.224218646,0.34380531,0.054327948,0.120964251,1.609437912,1
The system shall allow creation of personalized templates to fit the specific needs of individual practices,The system shall provide the ability to customize clinical templates,0.405465108,0.348237453,0.006199107,0.027031007,0.405465108,0.104690641,5.22659176,0,85.26384411,63.0865665,0.97826087,7.411083619,0.098276648,1.110429955,1.474149723,0.050554262,0.168619855,2.634718928,0.405465108,0.348237453,0.006543502,0.040546511,0.405465108,0.128219325,15.56639323,23.56538929,68.01384687,53.87838577,0.989333333,4.770992574,0.085400793,0.610888754,0.854007934,0.066325268,0.186759575,1.832581464,1
The system shall allow creation of personalized templates to fit the specific needs of individual practices,The system shall provide the ability to individualize alerts to address a patient's specific clinical situation,0.405465108,0.348237453,0.006199107,0.027031007,0.405465108,0.104690641,5.22659176,0,85.26384411,63.0865665,0.97826087,7.411083619,0.098276648,1.110429955,1.474149723,0.050554262,0.168619855,2.634718928,0.405465108,0.348237453,0.005889152,0.054062014,0.405465108,0.142669295,24.2829262,16.64164975,126.1254568,42.52523045,1,7.566642009,0.022397526,0.194590329,0.335962887,0.063176451,0.101273808,1.832581464,1
The system shall allow document types to inherit authorizations from a higher level when using classes to assign roles,The system shall provide the ability to create and assign tasks by user or user role,0.405465108,0.348237453,0.005889152,0.022525839,0.405465108,0.095569042,15.10720276,0.313649566,155.3803639,46.22074367,1,7.721616282,0.028593377,0.14786498,0.51468079,0.044670214,0.074652446,1.352102996,0.405465108,0.348237453,0.006199107,0.027031007,0.405465108,0.104690641,23.5554823,19.55412554,68.01384687,33.8483633,0.997333333,2.805257541,0.026227265,0.132117222,0.39340898,0.054552067,0.177662459,3.442019376,1
The system shall allow document types to inherit authorizations from a higher level when using classes to assign roles,The system shall provide the ability to identify the identity of the cosigning author of a note and record the date and time of original author and identity of signature,0.405465108,0.348237453,0.005889152,0.022525839,0.405465108,0.095569042,15.10720276,0.313649566,155.3803639,46.22074367,1,7.721616282,0.028593377,0.14786498,0.51468079,0.044670214,0.074652446,1.352102996,0.405465108,0.348237453,0.006199107,0.040546511,0.405465108,0.124799527,13.44856819,9.442731016,126.1254568,49.81049983,1,6.038346369,0.060172707,0.547286948,1.203454142,0.053416831,0.110505285,1.975682307,1
The system shall allow document types to inherit authorizations from a higher level when using classes to assign roles,The system shall provide the ability to index and retrieve scanned documents based on the document type,0.405465108,0.348237453,0.005889152,0.022525839,0.405465108,0.095569042,15.10720276,0.313649566,155.3803639,46.22074367,1,7.721616282,0.028593377,0.14786498,0.51468079,0.044670214,0.074652446,1.352102996,0.405465108,0.348237453,0.006543502,0.025341569,0.405465108,0.101366277,15.77610765,18.09788764,68.01384687,40.0617665,1,5.715377083,0.04595212,0.224218646,0.735233925,0.058182879,0.132249518,2.982487047,1
The system shall allow infinite hierarchies of subclasses to be created in the User Hierarchy Class structure,The system shall provide the ability to export structured data which removes those identifiers listed in the HIPAA definition of a limited dataset. This export on hardcopy and electronic output shall leave the actual PHI data unmodified in the original record,0.405465108,0.348237453,0.006928414,0.023850889,0.405465108,0.098339733,18.19735702,1.658869651,93.02747987,54.99469884,0.993478261,7.401404009,0.05705562,0.841734997,0.969945546,0.046825312,0.095018312,1.412727618,0.405465108,0.348237453,0.005353774,0.056163015,1.098612289,0.208057918,16.37903251,0,126.1254568,34.52372421,1,9.568356321,0.014938712,0.204511377,0.507916209,0.056978685,0.172607156,2.79143181,1
The system shall allow infinite hierarchies of subclasses to be created in the User Hierarchy Class structure,The system shall provide the ability to present a list of tasks by user or user role,0.405465108,0.348237453,0.006928414,0.023850889,0.405465108,0.098339733,18.19735702,1.658869651,93.02747987,54.99469884,0.993478261,7.401404009,0.05705562,0.841734997,0.969945546,0.046825312,0.095018312,1.412727618,0.405465108,0.348237453,0.006543502,0.050683139,0.405465108,0.1384927,30.61873029,23.56538929,126.1254568,40.3676351,1,3.951905903,0.02006524,0.132117222,0.32104384,0.055601446,0.080888499,2.430418465,1
